emp_no,dept_no,from_date,to_date
10007,d008,1989-02-10,9999-01-01
10009,d006,1985-02-18,9999-01-01
10030,d004,1994-02-17,9999-01-01
10033,d006,1987-03-18,1993-03-24
10056,d005,1990-02-01,9999-01-01
10067,d006,1987-03-04,9999-01-01
10069,d004,1992-06-14,9999-01-01
10078,d005,1994-09-29,9999-01-01
10098,d004,1985-05-13,1989-06-29
10098,d009,1989-06-29,1992-12-11
10113,d004,1998-09-14,9999-01-01
10114,d008,1992-07-17,9999-01-01
10121,d005,1989-05-03,9999-01-01
10137,d009,1985-02-18,9999-01-01
10153,d005,2000-01-08,9999-01-01
10164,d004,1990-10-19,2000-05-31
10164,d009,2000-05-31,9999-01-01
10195,d004,1985-02-15,2001-04-14
10197,d005,1994-06-28,9999-01-01
10203,d008,1989-04-06,9999-01-01
10225,d009,1995-12-14,9999-01-01
10249,d005,1991-12-08,1998-04-13
10249,d008,1998-04-13,9999-01-01
10260,d004,1993-02-01,9999-01-01
10280,d003,1995-01-27,9999-01-01
10323,d004,1991-06-06,9999-01-01
10333,d005,1993-01-16,9999-01-01
10339,d004,1989-11-30,9999-01-01
10340,d001,1988-03-30,9999-01-01
10347,d008,1998-02-20,9999-01-01
10356,d008,1995-06-26,9999-01-01
10372,d004,1985-07-30,9999-01-01
10384,d001,1986-01-16,9999-01-01
10385,d004,1992-12-20,1998-01-23
10398,d007,1990-10-12,9999-01-01
10406,d006,1996-01-26,9999-01-01
10415,d005,1993-10-25,9999-01-01
10441,d004,1988-07-12,9999-01-01
10449,d001,1996-03-12,9999-01-01
10449,d007,1987-03-28,1996-03-12
10459,d002,1998-06-14,9999-01-01
10459,d003,1997-06-28,1998-06-14
10485,d005,1996-01-21,9999-01-01
10492,d005,1988-04-29,9999-01-01
10500,d005,1996-12-16,9999-01-01
10510,d007,1990-04-20,1992-09-21
10510,d009,1992-09-21,9999-01-01
10512,d003,1989-11-28,9999-01-01
10517,d007,1990-12-25,9999-01-01
10526,d004,1988-02-27,9999-01-01
10528,d005,1993-10-28,9999-01-01
10535,d009,1991-08-22,9999-01-01
10538,d004,1991-09-22,1998-12-13
10538,d005,1987-07-23,1991-09-22
10541,d007,1986-02-28,1986-10-01
10549,d005,1996-10-11,9999-01-01
10562,d005,1997-07-24,9999-01-01
10563,d005,1992-09-29,2002-01-01
10568,d007,1995-07-08,9999-01-01
10578,d005,1989-11-24,9999-01-01
10594,d005,1988-04-02,9999-01-01
10595,d004,1989-11-24,9999-01-01
10619,d007,1993-04-09,9999-01-01
10633,d007,1997-05-16,9999-01-01
10640,d007,1992-12-04,9999-01-01
10645,d004,1988-03-01,9999-01-01
10649,d009,1998-06-23,9999-01-01
10653,d005,1987-04-30,9999-01-01
10660,d005,1988-08-12,1991-07-12
10664,d004,1989-12-24,9999-01-01
10668,d002,1997-11-28,1999-09-03
10672,d004,1991-09-29,1996-04-19
10704,d008,1995-02-17,9999-01-01
10711,d005,1991-06-21,9999-01-01
10722,d001,1989-01-17,2000-04-14
10743,d002,1999-11-05,9999-01-01
10749,d004,1985-09-26,9999-01-01
10753,d004,1985-05-17,1999-08-25
10760,d002,1997-08-22,9999-01-01
10773,d009,1997-02-09,1997-11-29
10797,d004,1997-06-02,9999-01-01
10797,d005,1988-08-21,1997-06-02
10799,d005,1989-03-01,9999-01-01
10802,d004,1985-08-24,9999-01-01
10812,d004,1996-09-20,1997-10-06
10841,d009,1992-01-22,9999-01-01
10843,d005,1990-04-26,9999-01-01
10866,d002,1990-12-27,9999-01-01
10881,d004,1997-02-18,1998-10-25
10899,d001,1990-04-05,9999-01-01
10900,d005,1995-09-07,9999-01-01
10904,d005,1993-04-16,9999-01-01
10921,d004,1986-07-27,9999-01-01
10923,d007,1990-04-09,9999-01-01
10925,d004,1991-06-11,9999-01-01
10929,d001,1991-04-15,9999-01-01
10930,d004,1991-11-22,9999-01-01
10939,d006,1997-12-11,9999-01-01
10944,d004,1995-09-07,9999-01-01
10951,d002,1989-07-06,9999-01-01
10957,d007,1990-10-01,9999-01-01
10967,d005,1993-08-01,9999-01-01
10972,d005,1987-06-06,9999-01-01
10987,d005,1997-05-21,9999-01-01
10993,d006,1992-05-29,9999-01-01
11019,d005,1992-05-24,9999-01-01
11027,d004,1986-05-07,9999-01-01
11032,d005,2000-12-15,9999-01-01
11032,d009,1994-06-06,2000-12-15
11034,d009,1993-01-01,9999-01-01
