emp_no,title,from_date,to_date
10007,Senior Staff,1996-02-11,9999-01-01
10007,Staff,1989-02-10,1996-02-11
10009,Assistant Engineer,1985-02-18,1990-02-18
10009,Engineer,1990-02-18,1995-02-18
10009,Senior Engineer,1995-02-18,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,Senior Engineer,2001-02-17,9999-01-01
10033,Technique Leader,1987-03-18,1993-03-24
10056,Engineer,1990-02-01,1999-02-01
10056,Senior Engineer,1999-02-01,9999-01-01
10067,Engineer,1987-03-04,1996-03-03
10067,Senior Engineer,1996-03-03,9999-01-01
10069,Technique Leader,1992-06-14,9999-01-01
10078,Engineer,1994-09-29,9999-01-01
10098,Engineer,1985-05-13,1992-05-13
10098,Senior Engineer,1992-05-13,1992-12-11
10113,Engineer,1998-09-14,9999-01-01
10114,Senior Staff,1999-07-18,9999-01-01
10114,Staff,1992-07-17,1999-07-18
10121,Engineer,1989-05-03,1996-05-03
10121,Senior Engineer,1996-05-03,9999-01-01
10137,Senior Staff,1994-02-18,9999-01-01
10137,Staff,1985-02-18,1994-02-18
10153,Assistant Engineer,2000-01-08,9999-01-01
10164,Engineer,1990-10-19,1999-10-19
10164,Senior Engineer,1999-10-19,9999-01-01
10195,Engineer,1985-02-15,1991-02-15
10195,Senior Engineer,1991-02-15,2001-04-14
10197,Engineer,1994-06-28,2001-06-28
10197,Senior Engineer,2001-06-28,9999-01-01
10203,Senior Staff,1995-04-06,9999-01-01
10203,Staff,1989-04-06,1995-04-06
10225,Staff,1995-12-14,9999-01-01
10249,Engineer,1991-12-08,2000-12-07
10249,Senior Engineer,2000-12-07,9999-01-01
10260,Engineer,1993-02-01,2002-02-01
10260,Senior Engineer,2002-02-01,9999-01-01
10280,Staff,1995-01-27,9999-01-01
10323,Engineer,1991-06-06,2000-06-05
10323,Senior Engineer,2000-06-05,9999-01-01
10333,Engineer,1993-01-16,1998-01-16
10333,Senior Engineer,1998-01-16,9999-01-01
10339,Engineer,1989-11-30,1997-11-30
10339,Senior Engineer,1997-11-30,9999-01-01
10340,Senior Staff,1993-03-30,9999-01-01
10340,Staff,1988-03-30,1993-03-30
10347,Staff,1998-02-20,9999-01-01
10356,Senior Staff,1995-06-26,9999-01-01
10372,Technique Leader,1985-07-30,9999-01-01
10384,Senior Staff,1991-01-16,9999-01-01
10384,Staff,1986-01-16,1991-01-16
10385,Engineer,1992-12-20,1998-01-23
